International slaves,(10.20.16.0/24)
"IP Address","Port","Hostname","MySQL version","Subnet","SN Desc","Modified"
"10.20.16.30","3306","laxkr1statslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.30","3307","laxkr1statslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.32","3306","laxtw1statslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.33","3306","laxsg1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.33","3307","laxsg1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.33","3308","laxsg1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.36","3306","laxkr1platslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.36","3308","laxkr1platslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.37","3306","NOT_IN_DNS","5.5.9","10.20.16","International slaves","2013-04-12 13:22:49"
"10.20.16.38","3306","NOT_IN_DNS","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.39","3306","laxtw1auditslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.40","3306","laxsg1platslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.41","3306","laxsg1auditslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.42","3306","laxtw1platslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.43","3306","laxkr1auditslave02","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.44","3306","NOT_IN_DNS","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.45","3306","laxkr1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.45","3307","laxkr1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.45","3308","laxkr1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.46","3306","laxtw1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.46","3307","laxtw1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.46","3308","laxtw1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.47","3306","laxsg1statslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.48","3306","laxru1auditslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.48","3307","laxru1auditslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.49","3306","laxru1platslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.49","3307","laxru1platslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3306","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3307","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3308","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3309","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3310","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3311","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3312","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3313","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.50","3314","laxru1storeslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.51","3306","laxru1statslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.51","3307","laxru1statslave01","5.5.29","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.52","3306","laxbr1auditslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.53","3306","laxbr1platslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.54","3306","laxbr1statslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.55","3306","laxbr1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.55","3307","laxbr1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.55","3308","laxbr1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.56","3306","laxth1auditslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.57","3306","laxth1platslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.58","3306","laxth1statslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.59","3306","laxth1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.59","3307","laxth1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"
"10.20.16.59","3308","laxth1storeslave01","5.5.9","10.20.16","International slaves","2013-04-12 12:34:00"

